Job Post,Company,Skills,Ratings,Reviews,Experience,Salary,Location,Job_Post_History,URL
Site Merchandiser,Mahindra First Choice Wheels Ltd  (car&bike),"Banners,Content,google analytics,merchandising,designing",4.1,(556 Reviews),4-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-site-merchandiser-mahindra-first-choice-wheels-ltd-car-bike-mumbai-4-to-5-years-280822001387
Graphic Designer,Mahindra First Choice Wheels Ltd (car&bike),"Video Editing,Illustrator,Adobe After Effects,Photoshop,Indesign",4.1,(556 Reviews),2-5 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-graphic-designer-mahindra-first-choice-wheels-ltd-car-bike-mumbai-2-to-5-years-280822001370
Executive Copywriter,Mahindra First Choice Wheels Ltd (car&bike)  ,"Graphics,text images,Content,copy writer,social media,Banners",4.1,(556 Reviews),2-4 Yrs,Not disclosed,Mumbai,1 Day Ago,https://www.naukri.com/job-listings-executive-copywriter-mahindra-first-choice-wheels-ltd-car-bike-mumbai-2-to-4-years-280822001350
"Automation Test Engineer Position , Bangalore",Mahindra First Choice,"#Automation Tester,Automation Engineering",4.1,(556 Reviews),3-5 Yrs,"7,00,000 - 10,00,000 PA.",Bangalore/Bengaluru,8 Days Ago,https://www.naukri.com/job-listings-automation-test-engineer-position-bangalore-mahindra-first-choice-wheels-ltd-bangalore-bengaluru-3-to-5-years-220822002148
Area Manager - Xmart,Mahindra First Choice,"dealer sales,Channel Sales,Dealer Channel Management,Dealer Development",4.1,(556 Reviews),3-8 Yrs,Not disclosed,"Ludhiana, Jaipur, Delhi / NCR",30+ Days Ago,https://www.naukri.com/job-listings-area-manager-xmart-mahindra-first-choice-wheels-ltd-ludhiana-jaipur-delhi-ncr-3-to-8-years-290722012144
Area Manager - XMart,Mahindra First Choice,"sales operations,area management,Business Development,dealer network",4.1,(556 Reviews),6-8 Yrs,Not disclosed,"Guwahati, Bhopal, Raipur",30+ Days Ago,https://www.naukri.com/job-listings-area-manager-xmart-mahindra-first-choice-wheels-ltd-guwahati-bhopal-raipur-6-to-8-years-290722008237
Software Engineer- BIZAGI Developer,Mahindra First Choice,"MS SQL,Web services,Design development,business rules,Deployment,Mentor,Subject Matter Expert,Virtualization",4.1,(556 Reviews),3-8 Yrs,Not disclosed,"Chennai, Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-bizagi-developer-mahindra-first-choice-wheels-ltd-chennai-bengaluru-bangalore-3-to-8-years-180920501023
Software Engineer/ Senior Software Engineer,Mahindra First Choice,"PHP,OOPS,PHP framework,Laravel,React JS,CSS3,SQL,REST API",4.1,(556 Reviews),2-6 Yrs,Not disclosed,Bangalore/Bengaluru,25 Days Ago,https://www.naukri.com/job-listings-software-engineer-senior-software-engineer-mahindra-first-choice-wheels-ltd-bangalore-bengaluru-2-to-6-years-050822907470
Store Manager - Superstore,Mahindra First Choice,"sales,Key Account Management,Business Development,Vehicles procurement",4.1,(556 Reviews),8-12 Yrs,Not disclosed,"Nasik/Nashik, Pune",30+ Days Ago,https://www.naukri.com/job-listings-store-manager-superstore-mahindra-first-choice-wheels-ltd-nasik-nashik-pune-8-to-12-years-290722009702
Customer Relation Executive,Mahindra First Choice,"Customer Relation Executive,Malayalam,Customer service",4.1,(556 Reviews),0-2 Yrs,Not disclosed,Gurgaon,30+ Days Ago,https://www.naukri.com/job-listings-customer-relation-executive-mahindra-first-choice-wheels-ltd-gurgaon-0-to-2-years-180920501022
Senior Product Manager,Mahindra First Choice,Product Management,4.1,(556 Reviews),3-8 Yrs,"13,00,000 - 20,00,000 PA.","Chennai, Bangalore/Bengaluru",20 Days Ago,https://www.naukri.com/job-listings-senior-product-manager-mahindra-first-choice-wheels-ltd-chennai-bangalore-bengaluru-3-to-8-years-070722004573
Manager - Superstore,Mahindra First Choice,"sales,Retail Sales,Showroom Sales",4.1,(556 Reviews),4-9 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago,https://www.naukri.com/job-listings-manager-superstore-mahindra-first-choice-wheels-ltd-gurgaon-gurugram-4-to-9-years-290722011787
Area Manager / Territory Manager,Mahindra First Choice,"Automobile,Sales,Process improvement,Network expansion,Management,Business operations",4.1,(556 Reviews),4-9 Yrs,Not disclosed,india,30+ Days Ago,https://www.naukri.com/job-listings-area-manager-territory-manager-mahindra-first-choice-wheels-ltd-india-4-to-9-years-031120500001
Software Engineer- PHP Developer,Mahindra First Choice,"Front end,Symfony,Architecture,OOPS,PHP,MVC,SQL",4.1,(556 Reviews),2-7 Yrs,Not disclosed,"Chennai, Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-php-developer-mahindra-first-choice-wheels-ltd-chennai-bengaluru-bangalore-2-to-7-years-180920501025
Software Engineer- React Full Stack Developer,Mahindra First Choice,"Javascript,SQL,Technical documentation,Testing",4.1,(556 Reviews),3-5 Yrs,Not disclosed,"Chennai, Bengaluru",30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-react-full-stack-developer-mahindra-first-choice-wheels-ltd-chennai-bengaluru-bangalore-3-to-5-years-180920501024
Software Engineer -Dot Net Developer,Mahindra First Choice,"LINQ,ASP.Net,MVC,Principal,SQL,Technical documentation,Testing",4.1,(556 Reviews),3-5 Yrs,Not disclosed,Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-software-engineer-dot-net-developer-mahindra-first-choice-wheels-ltd-bengaluru-bangalore-3-to-5-years-031120500002
Tcs is Hiring For Power BI Platform Administrator- Pune,TATA CONSULTANCY SERVICES (TCS),"Power BI administration,IT Skills,AWS,Power BI,Azure,Performance tuning,SSRS,Server Management",3.9,(46198 Reviews),5-8 Yrs,Not disclosed,Pune,Today,https://www.naukri.com/job-listings-tcs-is-hiring-for-power-bi-platform-administrator-pune-tata-consultancy-services-ltd-pune-5-to-8-years-300822004381
